File name,190605C1.edf
Result analysis file name,190605C1.raf
Subject,********
Gender,
Age
Memo
Free comment 1,Patient identificati,61
Free comment 2,Recording identifica,Startdate 06-Jun-2019
Free comment 3,Start time,06/05/2019 13:00:00
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time,Epoch No.,Stage,FFT Delta_Power,FFT Delta_Ratio,FFT Theta_Power,FFT Theta_Ratio,Theta Amplitude,Delta Amplitude,Free Integral,
,,,uV^2,%,uV^2,%,,,,
2019-06-05 13:00:00,0,W,441.165436,48.463505,115.301277,32.289974,0.000000,138.056870,71171.820313,
2019-06-05 13:00:04,1,W,430.096069,44.176628,115.868759,28.779242,0.000000,0.000000,95341.546875,
2019-06-05 13:00:08,2,W,741.356445,62.458622,202.792374,39.679478,0.000000,102.362877,64534.078125,
2019-06-05 13:00:12,3,W,887.300171,63.268559,178.582794,34.932499,70.839493,97.668427,65370.707031,
2019-06-05 13:00:16,4,W,512.944397,39.602383,98.808731,20.787268,0.000000,66.983788,55779.019531,
2019-06-05 13:00:20,5,W,429.608765,41.670700,200.633667,31.769932,0.000000,82.968918,78729.421875,
2019-06-05 13:00:24,6,W,1552.985107,64.599426,121.807297,25.382437,0.000000,115.382469,74964.992188,
2019-06-05 13:00:28,7,W,1367.354126,80.924088,116.345222,29.782494,0.000000,77.742462,62835.046875,
2019-06-05 13:00:32,8,W,369.630554,49.122959,124.869064,30.645096,0.000000,96.342934,82294.843750,
2019-06-05 13:00:36,9,W,712.680359,50.599766,194.375336,45.099621,63.890224,96.681183,91149.890625,
2019-06-05 13:00:40,10,W,461.948639,31.761660,159.802185,17.291298,74.797897,0.000000,99112.625000,
2019-06-05 13:00:44,11,W,272.847229,33.866619,120.130943,34.539356,53.430389,0.000000,93657.750000,
2019-06-05 13:00:48,12,W,311.228241,36.986568,133.699142,27.881884,56.264793,89.129944,59148.734375,
2019-06-05 13:00:52,13,W,735.738647,39.470577,270.341522,31.272274,0.000000,99.793396,59053.566406,
2019-06-05 13:00:56,14,W,554.514893,46.577103,112.897110,30.763956,0.000000,109.541435,66871.921875,
2019-06-05 13:01:00,15,W,674.940674,42.929256,168.472229,30.070234,0.000000,0.000000,75930.320313,
2019-06-05 13:01:04,16,W,775.896484,54.333107,186.442749,27.793873,0.000000,107.152199,83194.960938,
2019-06-05 13:01:08,17,W,891.439636,55.345177,133.165634,13.072894,0.000000,0.000000,94331.851563,
2019-06-05 13:01:12,18,W,325.471375,26.395685,87.409843,30.159714,0.000000,127.182739,65515.484375,
2019-06-05 13:01:16,19,W,934.008789,45.745514,231.630661,38.829716,0.000000,116.919601,73400.140625,
2019-06-05 13:01:20,20,W,1237.669312,52.651161,94.437187,11.140558,0.000000,92.249611,70029.234375,
2019-06-05 13:01:24,21,W,542.804504,35.534321,175.182831,18.351177,0.000000,78.064079,64563.835938,
